BSSID;SSID;room;num_measurements;mean;stddev
1c:aa:07:6e:31:a4;tudelft-dastud;C1_AISLE1;1;-79;
1c:aa:07:6e:31:a4;tudelft-dastud;C10_AISLE10;115;-64,09565217;3,982360036
1c:aa:07:6e:31:a4;tudelft-dastud;C16_FLEX_BTM;137;-66,81751825;2,196986499
1c:aa:07:6e:31:a4;tudelft-dastud;C17_FLEX_TOP;78;-62;3,388291528
1c:aa:07:6e:31:a4;tudelft-dastud;C7_AISLE7;20;-75,75;1,650358813
1c:aa:07:6e:31:a4;tudelft-dastud;C8_AISLE8;95;-76,12631579;3,70520653
1c:aa:07:6e:31:a4;tudelft-dastud;C9_AISLE9;164;-69,3902439;4,013034277
1c:aa:07:6e:31:a6;Conferentie-TUD;C1_AISLE1;1;-71;
1c:aa:07:6e:31:a6;Conferentie-TUD;C10_AISLE10;180;-63,22222222;3,414650584
1c:aa:07:6e:31:a6;Conferentie-TUD;C12_CONF_TOP;1;-65;
1c:aa:07:6e:31:a6;Conferentie-TUD;C13_COFFEE;1;-72;
1c:aa:07:6e:31:a6;Conferentie-TUD;C16_FLEX_BTM;240;-65,66666667;3,577786729
1c:aa:07:6e:31:a6;Conferentie-TUD;C17_FLEX_TOP;120;-59,91666667;3,78316335
1c:aa:07:6e:31:a6;Conferentie-TUD;C4_AISLE4;46;-80,26086957;1,925671976
1c:aa:07:6e:31:a6;Conferentie-TUD;C6_AISLE6;10;-78,2;0,632455532
1c:aa:07:6e:31:a6;Conferentie-TUD;C7_AISLE7;130;-78,6;2,631355356
1c:aa:07:6e:31:a6;Conferentie-TUD;C8_AISLE8;179;-76,37430168;2,850115105
1c:aa:07:6e:31:a6;Conferentie-TUD;C9_AISLE9;240;-67,475;3,79707551
1c:aa:07:6e:31:a9;Conferentie-TUD;C1_AISLE1;1;-73;
1c:aa:07:6e:31:a9;Conferentie-TUD;C10_AISLE10;180;-74,88888889;5,390752364
1c:aa:07:6e:31:a9;Conferentie-TUD;C12_CONF_TOP;1;-81;
1c:aa:07:6e:31:a9;Conferentie-TUD;C13_COFFEE;1;-68;
1c:aa:07:6e:31:a9;Conferentie-TUD;C16_FLEX_BTM;240;-74,87916667;5,402423071
1c:aa:07:6e:31:a9;Conferentie-TUD;C17_FLEX_TOP;120;-66,625;4,02317342
1c:aa:07:6e:31:a9;Conferentie-TUD;C4_AISLE4;37;-89,91891892;1,299110345
1c:aa:07:6e:31:a9;Conferentie-TUD;C6_AISLE6;9;-90;0
1c:aa:07:6e:31:a9;Conferentie-TUD;C7_AISLE7;79;-89,18987342;3,336188326
